ID	Material	CF	a/A	b/A	c/A	alpha	beta	gamma	Vol/A3	nAT!H	
156	IBUDOZ_clean_min_charges	H_4_C_6_N_5_Cu_1	11.431	21.233	16.195	90.001	90.007	92.9	3925.726	192
157	ICANAD_clean_min_charges	H_10_C_7_N_8_O_4_Ag_2	14.131	14.13	14.133	104.811	104.76	104.833	2477.6367	126
158	ICANEH_clean_min_charges	H_60_C_42_N_48_O_24_Ag_11	14.124	14.14	14.122	104.886	104.722	104.841	2475.4468	125
159	IGOCOX_clean_min_charges	H_6_C_18_N_18_Cl_4_Zn_5	15.411	15.42	15.411	60.015	60.035	60.048	2591.507	90
160	IJENER_clean_min_charges	H_6_C_6_O_2_S_2_Ag_1	13.144	13.126	13.66	89.933	89.933	89.989	2356.7314	88
161	ILOJEZ_clean_min_charges	H_17_C_23_N_6_O_4_Zn_1	22.522	16.308	14.511	89.989	95.208	89.979	5307.7246	272
162	IMACZN01_clean_min_charges	H_12_C_8_N_2_O_8_Zn_1	13.592	22.212	22.222	72.165	90.017	89.997	6386.529	304
163	IQUNAJ_clean_min_charges	C_4_O_8_K_1_Y_1	17.2	18.534	18.532	77.738	62.555	62.555	4652.7666	224
164	IQUNAJ01_clean_min_charges	C_4_O_8_K_1_Y_1	17.202	18.548	18.556	77.633	62.433	62.424	4652.143	224
165	ISEQIH_clean_min_charges	H_10_C_12_O_14_Ca_3	12.318	21.045	16.643	71.59	83.891	90.005	4067.7517	232
166	ISIMAZ_clean_min_charges	H_19_C_19_N_4_O_5_Zn_1	14.594	16.877	17.459	90.002	95.55	90.028	4280.044	232
167	ISOHEE_clean_min_charges	H_87_C_136_N_23_O_25_Zn_6	20.243	22.896	13.99	90.005	100.938	89.996	6366.3403	190
168	IXISAJ_clean_min_charges	H_6_C_6_N_2_Cu_1_Br_1	12.811	14.28	14.19	78.507	63.467	63.527	2078.9934	80
169	IXISOX_clean_min_charges	H_6_C_6_N_2_Cu_1_I_1	13.219	14.33	14.337	77.767	62.589	62.647	2141.3596	80
